page,language,profile,performance,accessibility,best_practices,seo,runs,performance_min,performance_max,result,note,source_sha256
/,en,phone,96,100,100,100,3,96,96,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/,en,tablet,95,100,100,100,3,95,96,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/404,en,phone,99,100,100,63,1,99,99,PASS,Intentional noindex 404: raw SEO shown; other categories gated,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/404,en,tablet,99,100,100,63,1,99,99,PASS,Intentional noindex 404: raw SEO shown; other categories gated,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/404,en,desktop,100,100,100,63,1,100,100,PASS,Intentional noindex 404: raw SEO shown; other categories gated,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/artists,en,phone,97,100,100,100,1,97,97,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/artists,en,tablet,96,100,100,100,3,96,97,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/artists,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/bachata-congress-2026,en,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/bachata-congress-2026,en,tablet,96,100,100,100,3,96,96,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/bachata-congress-2026,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/BookHotel,en,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
